setCode,cardNumber,name,cardType,archetype,rarity,level,attack,defense,attribute,monsterType,isEffect,notes
LT01,LT01-899,Rotting Mummy,monster,Necro Empire,common,3,1150,950,dark,Zombie,false,
LT01,LT01-903,Plated Golem,monster,Iron Legion,common,3,1350,1150,earth,Machine,false,
LT01,LT01-926,Risen Revenant,monster,Necro Empire,rare,5,2000,1700,dark,Zombie,true,
LT01,LT01-967,Undertow Hydra,monster,Abyssal Depths,rare,5,2100,1800,water,Aqua,true,
LT01,LT01-976,Plated Mech,monster,Iron Legion,common,3,1150,950,earth,Machine,false,
LT01,LT01-981,Void Sovereign,monster,Necro Empire,legendary,8,2900,2400,dark,Zombie,true,limited
LT01,LT01-986,Risen Zombie,monster,Necro Empire,common,3,1050,850,dark,Zombie,false,
LT01,LT01-451,Infernal God Dragon,monster,Infernal Dragons,legendary,10,4000,3500,fire,Dragon,true,limited prismatic
LT01,LT01-453,Iron Emperor Maximus,monster,Iron Legion,legendary,9,3500,4500,earth,Machine,true,cost: tribute 3; variation: prismatic; limited; prismatic
LT01,LT01-459,Lich King Absolute,monster,Necro Empire,legendary,10,3700,3000,dark,Zombie,true,cost: tribute 3; variation: prismatic; limited; ultimate boss
LT01,LT01-659,Withered Vampire,monster,Necro Empire,common,3,1250,1050,dark,Zombie,false,
LT01,LT01-713,Withered Skeleton,monster,Necro Empire,common,3,1000,800,dark,Zombie,false,
LT01,LT01-981,Void Sovereign,monster,Necro Empire,legendary,8,2900,2400,dark,Zombie,true,limited
LT01,LT01-986,Risen Zombie,monster,Necro Empire,common,3,1050,850,dark,Zombie,false,
LT01-EVO,LT01-EVO-001,Infernal Vanguard Dragon,monster,Infernal Dragons,rare,5,2200,1600,fire,Dragon,true,evolution
LT01-EVO,LT01-EVO-002,Blazing Guardian Dragon,monster,Infernal Dragons,rare,5,1800,2000,fire,Dragon,true,evolution
LT01-EVO,LT01-EVO-003,Infernal Tyrant Dragon,monster,Infernal Dragons,legendary,9,3200,2600,fire,Dragon,true,evolution
LT01-EVO,LT01-EVO-004,Pyroclast Wyrm Lord,monster,Infernal Dragons,epic,7,2600,1800,fire,Dragon,true,evolution
LT01-EVO,LT01-EVO-005,Infernal Berserker Dragon,monster,Infernal Dragons,epic,6,2800,1400,fire,Dragon,true,branch evolution
LT01-EVO,LT01-EVO-006,Tidal Warden,monster,Abyssal Depths,rare,5,1800,2200,water,Sea Serpent,true,evolutionStage=ascended; evolvesFrom=Deep Sea Scout
LT01-EVO,LT01-EVO-007,Reef Colossus,monster,Abyssal Depths,rare,6,2000,2400,water,Sea Serpent,true,evolutionStage=ascended; evolvesFrom=Coral Guardian
LT01-EVO,LT01-EVO-008,Abyssal Emperor,monster,Abyssal Depths,epic,8,2800,3200,water,Sea Serpent,true,evolutionStage=apex; lpCost=400; evolvesFrom=Reef Colossus
LT01-EVO,LT01-EVO-009,Maelstrom Drake,monster,Abyssal Depths,epic,7,2400,2000,water,Sea Serpent,true,evolutionStage=ascended; evolvesFrom=Whirlpool Serpent
LT01-EVO,LT01-EVO-010,Abyssal Titan,monster,Abyssal Depths,legendary,9,3200,2800,water,Sea Serpent,true,evolutionStage=apex; lpCost=450; evolvesFrom=Maelstrom Drake
LT01-EVO,LT01-EVO-011,Steel Commander,monster,Iron Legion,rare,5,2000,2200,earth,Machine,true,evolution ascended
LT01-EVO,LT01-EVO-012,Fortress Guardian,monster,Iron Legion,rare,6,1600,2600,earth,Machine,true,evolution ascended
LT01-EVO,LT01-EVO-013,Iron Colossus,monster,Iron Legion,epic,8,2800,3400,earth,Machine,true,evolution apex
LT01-EVO,LT01-EVO-014,Siege Engine,monster,Iron Legion,epic,7,2400,2000,earth,Machine,true,evolution ascended
LT01-EVO,LT01-EVO-038,Skeletal Knight,monster,Necro Empire,rare,5,2100,1800,dark,Zombie,true,evo ascended
LT01-EVO,LT01-EVO-039,Grave Warden,monster,Necro Empire,rare,6,1800,2200,dark,Zombie,true,evo ascended
LT01-EVO,LT01-EVO-040,Death Knight Sovereign,monster,Necro Empire,epic,8,2800,2600,dark,Zombie,true,evo apex
LT01-EVO,LT01-EVO-041,Specter Lord,monster,Necro Empire,epic,7,2200,2000,dark,Zombie,true,evo ascended
LT01-EVO,LT01-EVO-042,Necro Archlich,monster,Necro Empire,legendary,9,3000,2800,dark,Zombie,true,evo apex
